STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,TOBS
GHCND:USC00040693,BERKELEY CA US,20150814,0.00,76,59,-9999
GHCND:USC00040693,BERKELEY CA US,20150815,0.00,81,57,-9999
GHCND:USC00040693,BERKELEY CA US,20150816,0.00,93,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150817,0.00,95,56,-9999
GHCND:USC00040693,BERKELEY CA US,20150818,0.00,80,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150819,0.00,74,59,-9999
GHCND:USC00040693,BERKELEY CA US,20150820,0.00,74,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150821,0.00,70,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150822,0.00,72,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150823,0.00,76,59,-9999
GHCND:USC00040693,BERKELEY CA US,20150824,0.00,73,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150825,0.00,75,57,-9999
GHCND:USC00040693,BERKELEY CA US,20150826,0.00,76,54,-9999
GHCND:USC00040693,BERKELEY CA US,20150827,0.00,80,56,-9999
GHCND:USC00040693,BERKELEY CA US,20150828,0.00,87,63,-9999
GHCND:USC00040693,BERKELEY CA US,20150829,0.00,93,62,-9999
GHCND:USC00040693,BERKELEY CA US,20150830,0.00,76,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150831,0.00,81,57,-9999
GHCND:USC00040693,BERKELEY CA US,20150901,0.00,80,57,67
GHCND:USC00040693,BERKELEY CA US,20150902,0.00,77,58,63
GHCND:USC00040693,BERKELEY CA US,20150903,0.00,73,56,64
GHCND:USC00040693,BERKELEY CA US,20150904,0.00,74,53,60
GHCND:USC00040693,BERKELEY CA US,20150905,0.00,77,50,-9999
GHCND:USC00040693,BERKELEY CA US,20150906,0.00,81,55,-9999
GHCND:USC00040693,BERKELEY CA US,20150907,0.00,87,56,-9999
GHCND:USC00040693,BERKELEY CA US,20150908,0.00,95,62,74
GHCND:USC00040693,BERKELEY CA US,20150909,0.00,99,62,-9999
GHCND:USC00040693,BERKELEY CA US,20150910,0.00,94,56,70
GHCND:USC00040693,BERKELEY CA US,20150911,0.00,89,55,67
GHCND:USC00040693,BERKELEY CA US,20150912,0.00,83,55,-9999
GHCND:USC00040693,BERKELEY CA US,20150913,0.00,76,58,-9999
GHCND:USC00040693,BERKELEY CA US,20150914,0.00,76,57,64
GHCND:USC00040693,BERKELEY CA US,20150915,0.00,75,55,60
